SaleDate,ItemsSold,RunningTotal,Country
2010-12-01,107,107,Australia
2010-12-08,214,321,Australia
2010-12-14,-13,308,Australia
2010-12-17,146,454,Australia
2011-01-06,4802,5256,Australia
2011-01-10,96,5352,Australia
2011-01-11,238,5590,Australia
2011-01-14,60,5650,Australia
2011-01-17,204,5854,Australia
2011-01-19,113,5967,Australia
2011-01-20,21,5988,Australia
2011-01-28,110,6098,Australia
2011-02-07,58,6156,Australia
2011-02-15,8384,14540,Australia
2011-02-27,217,14757,Australia
2011-03-03,10162,24919,Australia
2011-03-09,90,25009,Australia
2011-03-24,77,25086,Australia
2011-04-01,1,25087,Australia
2011-04-04,-8,25079,Australia
2011-04-08,224,25303,Australia
2011-04-28,-100,25203,Australia
2011-05-12,184,25387,Australia
2011-05-17,8268,33655,Australia
2011-05-20,396,34051,Australia
2011-05-23,231,34282,Australia
2011-05-31,-6,34276,Australia
2011-06-02,-8,34268,Australia
2011-06-15,15241,49509,Australia
2011-06-30,740,50249,Australia
2011-07-13,4332,54581,Australia
2011-07-14,429,55010,Australia
2011-07-19,174,55184,Australia
2011-07-24,214,55398,Australia
2011-07-26,36,55434,Australia
2011-08-12,374,55808,Australia
2011-08-18,12196,68004,Australia
2011-09-01,2836,70840,Australia
2011-09-05,82,70922,Australia
2011-09-16,317,71239,Australia
2011-09-25,478,71717,Australia
2011-09-28,330,72047,Australia
2011-10-05,7135,79182,Australia
2011-10-06,266,79448,Australia
2011-11-02,96,79544,Australia
2011-11-03,408,79952,Australia
2011-11-04,347,80299,Australia
2011-11-15,3130,83429,Australia
2011-11-24,224,83653,Australia
2010-12-15,-48,-48,Austria
2010-12-17,51,3,Austria
2011-02-01,197,200,Austria
2011-02-02,145,345,Austria
2011-03-03,53,398,Austria
2011-03-23,929,1327,Austria
2011-04-26,311,1638,Austria
2011-05-06,42,1680,Austria
2011-05-23,434,2114,Austria
2011-06-14,-6,2108,Austria
2011-07-12,100,2208,Austria
2011-07-28,473,2681,Austria
2011-08-08,550,3231,Austria
2011-08-19,240,3471,Austria
2011-10-18,491,3962,Austria
2011-11-13,375,4337,Austria
2011-11-14,342,4679,Austria
2011-12-08,148,4827,Austria
2010-12-20,54,54,Bahrain
2011-01-05,-54,0,Bahrain
2011-05-09,240,240,Bahrain
2011-05-19,20,260,Bahrain
2010-12-03,528,528,Belgium
2010-12-17,285,813,Belgium
2010-12-21,188,1001,Belgium
2010-12-22,754,1755,Belgium
2011-01-05,-1,1754,Belgium
2011-01-06,-5,1749,Belgium
2011-01-12,590,2339,Belgium
2011-01-19,-3,2336,Belgium
2011-01-20,94,2430,Belgium
2011-01-25,108,2538,Belgium
2011-02-03,21,2559,Belgium
2011-02-09,11,2570,Belgium
2011-02-11,262,2832,Belgium
2011-02-17,508,3340,Belgium
2011-02-18,-3,3337,Belgium
2011-02-21,194,3531,Belgium
2011-02-24,-2,3529,Belgium
2011-02-25,91,3620,Belgium
2011-02-28,15,3635,Belgium
2011-03-01,171,3806,Belgium
2011-03-03,126,3932,Belgium
2011-03-10,-7,3925,Belgium
2011-03-14,91,4016,Belgium
2011-03-20,215,4231,Belgium
2011-03-21,139,4370,Belgium
2011-03-23,685,5055,Belgium
2011-03-24,356,5411,Belgium
2011-04-07,243,5654,Belgium
2011-04-08,-3,5651,Belgium
2011-04-10,190,5841,Belgium
2011-04-12,187,6028,Belgium
2011-04-15,77,6105,Belgium
2011-04-18,204,6309,Belgium
2011-04-28,275,6584,Belgium
2011-05-05,72,6656,Belgium
2011-05-06,182,6838,Belgium
2011-05-10,494,7332,Belgium
2011-05-12,83,7415,Belgium
2011-05-17,168,7583,Belgium
2011-05-23,179,7762,Belgium
2011-05-24,-4,7758,Belgium
2011-05-27,651,8409,Belgium
2011-06-01,57,8466,Belgium
2011-06-05,524,8990,Belgium
2011-06-07,293,9283,Belgium
2011-06-08,20,9303,Belgium
2011-06-09,145,9448,Belgium
2011-06-17,598,10046,Belgium
2011-06-22,211,10257,Belgium
2011-06-23,294,10551,Belgium
2011-06-29,-1,10550,Belgium
2011-06-30,103,10653,Belgium
2011-07-06,522,11175,Belgium
2011-07-07,143,11318,Belgium
2011-07-13,13,11331,Belgium
2011-07-27,704,12035,Belgium
2011-07-28,296,12331,Belgium
2011-08-02,267,12598,Belgium
2011-08-04,190,12788,Belgium
2011-08-11,340,13128,Belgium
2011-08-12,175,13303,Belgium
2011-08-19,582,13885,Belgium
2011-08-25,358,14243,Belgium
2011-08-31,149,14392,Belgium
2011-09-02,298,14690,Belgium
2011-09-09,372,15062,Belgium
2011-09-19,196,15258,Belgium
2011-09-21,353,15611,Belgium
2011-09-22,471,16082,Belgium
2011-09-28,267,16349,Belgium
2011-10-04,118,16467,Belgium
2011-10-10,196,16663,Belgium
2011-10-11,162,16825,Belgium
2011-10-13,1290,18115,Belgium
2011-10-14,229,18344,Belgium
2011-10-17,199,18543,Belgium
2011-10-21,179,18722,Belgium
2011-10-24,-14,18708,Belgium
2011-10-26,213,18921,Belgium
2011-10-28,168,19089,Belgium
2011-10-30,268,19357,Belgium
2011-10-31,148,19505,Belgium
2011-11-04,769,20274,Belgium
2011-11-07,364,20638,Belgium
2011-11-08,246,20884,Belgium
2011-11-10,-1,20883,Belgium
2011-11-17,534,21417,Belgium
2011-11-18,315,21732,Belgium
2011-11-20,125,21857,Belgium
2011-11-22,185,22042,Belgium
2011-11-24,-1,22041,Belgium
2011-11-28,-7,22034,Belgium
2011-11-29,21,22055,Belgium
2011-12-02,498,22553,Belgium
2011-12-06,396,22949,Belgium
2011-12-09,203,23152,Belgium
2011-04-15,356,356,Brazil
2011-03-14,88,88,Canada
2011-05-04,504,592,Canada
2011-06-20,1092,1684,Canada
2011-07-11,1026,2710,Canada
2011-07-15,1,2711,Canada
2011-08-25,52,2763,Canada
2010-12-09,80,80,Channel Islands
2011-01-27,259,339,Channel Islands
2011-01-31,-4,335,Channel Islands
2011-02-15,935,1270,Channel Islands
2011-03-02,459,1729,Channel Islands
2011-03-09,944,2673,Channel Islands
2011-03-10,701,3374,Channel Islands
2011-04-13,97,3471,Channel Islands
2011-05-17,0,3471,Channel Islands
2011-05-19,223,3694,Channel Islands
2011-05-25,-2,3692,Channel Islands
2011-06-17,836,4528,Channel Islands
2011-08-01,172,4700,Channel Islands
2011-08-18,-1,4699,Channel Islands
2011-08-21,800,5499,Channel Islands
2011-08-23,1037,6536,Channel Islands
2011-09-19,583,7119,Channel Islands
2011-09-26,181,7300,Channel Islands
2011-09-28,-1,7299,Channel Islands
2011-10-05,1095,8394,Channel Islands
2011-10-14,312,8706,Channel Islands
2011-11-06,638,9344,Channel Islands
2011-11-17,78,9422,Channel Islands
2011-11-30,-2,9420,Channel Islands
2011-12-05,60,9480,Channel Islands
2011-12-08,-1,9479,Channel Islands
2010-12-14,917,917,Cyprus
2011-01-12,144,1061,Cyprus
2011-02-07,494,1555,Cyprus
2011-02-16,1522,3077,Cyprus
2011-02-17,1,3078,Cyprus
2011-02-21,173,3251,Cyprus
2011-03-10,1005,4256,Cyprus
2011-04-13,-4,4252,Cyprus
2011-06-03,356,4608,Cyprus
2011-09-19,33,4641,Cyprus
2011-10-04,0,4641,Cyprus
2011-10-07,345,4986,Cyprus
2011-10-13,657,5643,Cyprus
2011-10-19,380,6023,Cyprus
2011-11-18,300,6323,Cyprus
2011-12-02,-6,6317,Cyprus
2011-02-28,346,346,Czech Republic
2011-04-01,-39,307,Czech Republic
2011-10-07,325,632,Czech Republic
2011-11-18,-40,592,Czech Republic
2010-12-09,454,454,Denmark
2011-02-16,224,678,Denmark
2011-03-17,879,1557,Denmark
2011-05-11,368,1925,Denmark
2011-06-09,793,2718,Denmark
2011-06-20,393,3111,Denmark
2011-06-23,358,3469,Denmark
2011-07-25,241,3710,Denmark
2011-08-09,-9,3701,Denmark
2011-08-10,338,4039,Denmark
2011-09-21,1176,5215,Denmark
2011-09-26,230,5445,Denmark
2011-09-29,202,5647,Denmark
2011-10-07,637,6284,Denmark
2011-10-11,136,6420,Denmark
2011-10-17,-37,6383,Denmark
2011-10-21,95,6478,Denmark
2011-11-17,1025,7503,Denmark
2011-11-30,512,8015,Denmark
2011-12-05,173,8188,Denmark
2010-12-01,243,243,EIRE
2010-12-02,4,247,EIRE
2010-12-03,2575,2822,EIRE
2010-12-06,614,3436,EIRE
2010-12-09,287,3723,EIRE
2010-12-10,379,4102,EIRE
2010-12-16,328,4430,EIRE
2010-12-17,701,5131,EIRE
2010-12-19,155,5286,EIRE
2010-12-20,-363,4923,EIRE
2010-12-21,354,5277,EIRE
2010-12-23,104,5381,EIRE
2011-01-05,-102,5279,EIRE
2011-01-09,85,5364,EIRE
2011-01-10,-4,5360,EIRE
2011-01-14,6198,11558,EIRE
2011-01-18,287,11845,EIRE
2011-01-20,1332,13177,EIRE
2011-01-24,47,13224,EIRE
2011-01-26,690,13914,EIRE
2011-01-27,155,14069,EIRE
2011-02-01,463,14532,EIRE
2011-02-02,4,14536,EIRE
2011-02-03,270,14806,EIRE
2011-02-04,75,14881,EIRE
2011-02-08,-4,14877,EIRE
2011-02-14,1502,16379,EIRE
2011-02-15,2402,18781,EIRE
2011-02-17,87,18868,EIRE
2011-02-18,61,18929,EIRE
2011-02-21,472,19401,EIRE
2011-02-23,668,20069,EIRE
2011-02-25,-672,19397,EIRE
2011-03-01,669,20066,EIRE
2011-03-03,-12,20054,EIRE
2011-03-04,857,20911,EIRE
2011-03-10,3416,24327,EIRE
2011-03-11,0,24327,EIRE
2011-03-14,936,25263,EIRE
2011-03-15,1174,26437,EIRE
2011-03-17,416,26853,EIRE
2011-03-18,265,27118,EIRE
2011-03-20,73,27191,EIRE
2011-03-24,114,27305,EIRE
2011-03-25,533,27838,EIRE
2011-03-27,-3,27835,EIRE
2011-03-28,745,28580,EIRE
2011-03-29,334,28914,EIRE
2011-03-31,45,28959,EIRE
2011-04-01,713,29672,EIRE
2011-04-04,1239,30911,EIRE
2011-04-06,655,31566,EIRE
2011-04-07,390,31956,EIRE
2011-04-11,590,32546,EIRE
2011-04-17,151,32697,EIRE
2011-04-19,234,32931,EIRE
2011-04-27,163,33094,EIRE
2011-05-03,532,33626,EIRE
2011-05-05,192,33818,EIRE
2011-05-06,1694,35512,EIRE
2011-05-08,446,35958,EIRE
2011-05-10,349,36307,EIRE
2011-05-15,139,36446,EIRE
2011-05-16,2274,38720,EIRE
2011-05-17,412,39132,EIRE
2011-05-18,636,39768,EIRE
2011-05-19,397,40165,EIRE
2011-05-20,226,40391,EIRE
2011-05-23,401,40792,EIRE
2011-05-24,-5,40787,EIRE
2011-05-26,309,41096,EIRE
2011-06-01,-1,41095,EIRE
2011-06-06,404,41499,EIRE
2011-06-07,192,41691,EIRE
2011-06-08,2582,44273,EIRE
2011-06-09,507,44780,EIRE
2011-06-13,427,45207,EIRE
2011-06-15,3026,48233,EIRE
2011-06-16,268,48501,EIRE
2011-06-17,356,48857,EIRE
2011-06-19,84,48941,EIRE
2011-06-20,0,48941,EIRE
2011-06-21,-516,48425,EIRE
2011-06-22,590,49015,EIRE
2011-06-23,186,49201,EIRE
2011-06-24,876,50077,EIRE
2011-06-27,393,50470,EIRE
2011-06-29,2566,53036,EIRE
2011-06-30,394,53430,EIRE
2011-07-01,798,54228,EIRE
2011-07-04,537,54765,EIRE
2011-07-05,21,54786,EIRE
2011-07-08,-1,54785,EIRE
2011-07-14,864,55649,EIRE
2011-07-18,1377,57026,EIRE
2011-07-19,7238,64264,EIRE
2011-07-21,645,64909,EIRE
2011-07-26,246,65155,EIRE
2011-07-27,657,65812,EIRE
2011-07-28,2799,68611,EIRE
2011-07-29,286,68897,EIRE
2011-07-31,6656,75553,EIRE
2011-08-04,0,75553,EIRE
2011-08-05,744,76297,EIRE
2011-08-08,601,76898,EIRE
2011-08-10,390,77288,EIRE
2011-08-11,1427,78715,EIRE
2011-08-12,1045,79760,EIRE
2011-08-14,-1,79759,EIRE
2011-08-15,580,80339,EIRE
2011-08-16,-15,80324,EIRE
2011-08-17,843,81167,EIRE
2011-08-18,-5,81162,EIRE
2011-08-19,644,81806,EIRE
2011-08-21,148,81954,EIRE
2011-08-23,734,82688,EIRE
2011-08-26,849,83537,EIRE
2011-08-30,-87,83450,EIRE
2011-09-01,2184,85634,EIRE
2011-09-02,163,85797,EIRE
2011-09-04,1272,87069,EIRE
2011-09-05,5391,92460,EIRE
2011-09-06,1285,93745,EIRE
2011-09-07,1877,95622,EIRE
2011-09-08,950,96572,EIRE
2011-09-09,-15,96557,EIRE
2011-09-14,726,97283,EIRE
2011-09-15,309,97592,EIRE
2011-09-19,165,97757,EIRE
2011-09-20,943,98700,EIRE
2011-09-21,94,98794,EIRE
2011-09-22,808,99602,EIRE
2011-09-23,1958,101560,EIRE
2011-09-26,480,102040,EIRE
2011-09-27,199,102239,EIRE
2011-09-28,1026,103265,EIRE
2011-09-30,3100,106365,EIRE
2011-10-06,229,106594,EIRE
2011-10-07,448,107042,EIRE
2011-10-10,1000,108042,EIRE
2011-10-11,2206,110248,EIRE
2011-10-12,816,111064,EIRE
2011-10-14,353,111417,EIRE
2011-10-17,2621,114038,EIRE
2011-10-18,625,114663,EIRE
2011-10-19,711,115374,EIRE
2011-10-20,4932,120306,EIRE
2011-10-21,901,121207,EIRE
2011-10-24,189,121396,EIRE
2011-10-27,-12,121384,EIRE
2011-10-30,185,121569,EIRE
2011-10-31,392,121961,EIRE
2011-11-01,894,122855,EIRE
2011-11-02,-2,122853,EIRE
2011-11-04,-28,122825,EIRE
2011-11-07,768,123593,EIRE
2011-11-08,-15,123578,EIRE
2011-11-09,578,124156,EIRE
2011-11-10,496,124652,EIRE
2011-11-11,1252,125904,EIRE
2011-11-13,2643,128547,EIRE
2011-11-14,206,128753,EIRE
2011-11-15,1206,129959,EIRE
2011-11-16,3082,133041,EIRE
2011-11-17,631,133672,EIRE
2011-11-18,263,133935,EIRE
2011-11-20,440,134375,EIRE
2011-11-21,626,135001,EIRE
2011-11-22,1474,136475,EIRE
2011-11-23,51,136526,EIRE
2011-11-24,143,136669,EIRE
2011-11-25,92,136761,EIRE
2011-11-27,225,136986,EIRE
2011-11-28,945,137931,EIRE
2011-11-30,587,138518,EIRE
2011-12-01,562,139080,EIRE
2011-12-04,534,139614,EIRE
2011-12-05,219,139833,EIRE
2011-12-07,1998,141831,EIRE
2011-12-08,806,142637,EIRE
2011-04-26,34,34,European Community
2011-06-05,127,161,European Community
2011-06-06,3,164,European Community
2011-06-10,-2,162,European Community
2011-07-21,335,497,European Community
2010-12-16,1254,1254,Finland
2011-01-21,164,1418,Finland
2011-01-25,601,2019,Finland
2011-02-24,141,2160,Finland
2011-03-01,2127,4287,Finland
2011-03-20,63,4350,Finland
2011-03-21,-2,4348,Finland
2011-03-30,346,4694,Finland
2011-04-05,269,4963,Finland
2011-04-07,-30,4933,Finland
2011-04-11,237,5170,Finland
2011-04-15,159,5329,Finland
2011-04-21,153,5482,Finland
2011-06-23,157,5639,Finland
2011-07-05,228,5867,Finland
2011-07-14,857,6724,Finland
2011-07-19,188,6912,Finland
2011-08-04,145,7057,Finland
2011-08-11,385,7442,Finland
2011-08-23,-1,7441,Finland
2011-08-26,163,7604,Finland
2011-09-02,87,7691,Finland
2011-09-13,73,7764,Finland
2011-09-22,138,7902,Finland
2011-09-25,217,8119,Finland
2011-10-04,73,8192,Finland
2011-10-12,468,8660,Finland
2011-10-13,236,8896,Finland
2011-10-27,284,9180,Finland
2011-10-31,53,9233,Finland
2011-11-04,324,9557,Finland
2011-11-14,150,9707,Finland
2011-11-17,182,9889,Finland
2011-11-23,73,9962,Finland
2011-11-29,91,10053,Finland
2011-11-30,264,10317,Finland
2011-12-01,218,10535,Finland
2011-12-02,132,10667,Finland
2011-12-07,-1,10666,Finland
2010-12-01,449,449,France
2010-12-03,239,688,France
2010-12-05,611,1299,France
2010-12-07,752,2051,France
2010-12-08,121,2172,France
2010-12-09,1012,3184,France
2010-12-10,418,3602,France
2010-12-15,134,3736,France
2010-12-16,-3,3733,France
2010-12-17,398,4131,France
2010-12-20,733,4864,France
2010-12-21,26,4890,France
2010-12-22,88,4978,France
2011-01-05,733,5711,France
2011-01-06,440,6151,France
2011-01-07,596,6747,France
2011-01-09,78,6825,France
2011-01-10,635,7460,France
2011-01-11,988,8448,France
2011-01-12,681,9129,France
2011-01-14,1072,10201,France
2011-01-17,268,10469,France
2011-01-19,386,10855,France
2011-01-20,704,11559,France
2011-01-21,-3,11556,France
2011-01-23,126,11682,France
2011-01-24,84,11766,France
2011-01-25,-15,11751,France
2011-01-27,-9,11742,France
2011-01-28,574,12316,France
2011-01-31,1817,14133,France
2011-02-01,200,14333,France
2011-02-02,368,14701,France
2011-02-04,617,15318,France
2011-02-08,216,15534,France
2011-02-09,301,15835,France
2011-02-10,454,16289,France
2011-02-14,-15,16274,France
2011-02-15,97,16371,France
2011-02-16,776,17147,France
2011-02-17,116,17263,France
2011-02-18,756,18019,France
2011-02-21,334,18353,France
2011-02-22,-10,18343,France
2011-02-23,362,18705,France
2011-02-27,71,18776,France
2011-02-28,658,19434,France
2011-03-01,580,20014,France
2011-03-03,342,20356,France
2011-03-04,125,20481,France
2011-03-07,-24,20457,France
2011-03-08,-15,20442,France
2011-03-11,325,20767,France
2011-03-13,185,20952,France
2011-03-14,187,21139,France
2011-03-15,305,21444,France
2011-03-16,160,21604,France
2011-03-20,423,22027,France
2011-03-21,90,22117,France
2011-03-22,201,22318,France
2011-03-23,1233,23551,France
2011-03-25,264,23815,France
2011-03-27,61,23876,France
2011-03-28,848,24724,France
2011-03-31,3349,28073,France
2011-04-01,327,28400,France
2011-04-04,298,28698,France
2011-04-05,0,28698,France
2011-04-07,239,28937,France
2011-04-11,-3,28934,France
2011-04-14,284,29218,France
2011-04-17,402,29620,France
2011-04-18,-61,29559,France
2011-04-20,200,29759,France
2011-04-21,301,30060,France
2011-04-26,84,30144,France
2011-04-27,-2,30142,France
2011-04-28,147,30289,France
2011-05-03,1046,31335,France
2011-05-05,100,31435,France
2011-05-08,777,32212,France
2011-05-09,495,32707,France
2011-05-10,460,33167,France
2011-05-11,1593,34760,France
2011-05-12,106,34866,France
2011-05-13,505,35371,France
2011-05-15,141,35512,France
2011-05-16,283,35795,France
2011-05-17,479,36274,France
2011-05-18,334,36608,France
2011-05-19,562,37170,France
2011-05-20,470,37640,France
2011-05-22,298,37938,France
2011-05-23,306,38244,France
2011-05-24,210,38454,France
2011-05-25,742,39196,France
2011-05-26,514,39710,France
2011-05-27,157,39867,France
2011-05-31,202,40069,France
2011-06-05,1909,41978,France
2011-06-06,115,42093,France
2011-06-08,1128,43221,France
2011-06-09,787,44008,France
2011-06-10,164,44172,France
2011-06-12,716,44888,France
2011-06-13,904,45792,France
2011-06-15,1007,46799,France
2011-06-16,270,47069,France
2011-06-17,490,47559,France
2011-06-19,63,47622,France
2011-06-20,262,47884,France
2011-06-21,351,48235,France
2011-06-22,658,48893,France
2011-06-24,413,49306,France
2011-06-27,119,49425,France
2011-06-28,109,49534,France
2011-06-30,-24,49510,France
2011-07-01,364,49874,France
2011-07-04,259,50133,France
2011-07-05,319,50452,France
2011-07-06,597,51049,France
2011-07-08,662,51711,France
2011-07-11,290,52001,France
2011-07-12,616,52617,France
2011-07-13,667,53284,France
2011-07-17,47,53331,France
2011-07-18,921,54252,France
2011-07-19,33,54285,France
2011-07-21,-3,54282,France
2011-07-24,236,54518,France
2011-07-27,148,54666,France
2011-07-28,-3,54663,France
2011-07-29,503,55166,France
2011-08-02,52,55218,France
2011-08-03,699,55917,France
2011-08-04,281,56198,France
2011-08-05,486,56684,France
2011-08-10,197,56881,France
2011-08-12,170,57051,France
2011-08-14,3,57054,France
2011-08-15,607,57661,France
2011-08-17,400,58061,France
2011-08-18,463,58524,France
2011-08-19,462,58986,France
2011-08-21,270,59256,France
2011-08-23,460,59716,France
2011-08-24,246,59962,France
2011-08-25,1314,61276,France
2011-08-26,694,61970,France
2011-08-31,1144,63114,France
2011-09-02,427,63541,France
2011-09-04,509,64050,France
2011-09-05,279,64329,France
2011-09-07,1637,65966,France
2011-09-08,860,66826,France
